	gene	symbol	samplename	normalized_counts
78	ENSG00000171314	PGAM1	Naive_CD8_Rep1	3842.51074297843
79	ENSG00000179388	EGR3	Naive_CD8_Rep1	38.1979842800112
80	ENSG00000237649	KIFC1	Naive_CD8_Rep1	30.9713386054145
81	ENSG00000066279	ASPM	Naive_CD8_Rep2	32.9264792536688
82	ENSG00000073111	MCM2	Naive_CD8_Rep2	351.972709263357
83	ENSG00000089692	LAG3	Naive_CD8_Rep2	72.6653335253381
84	ENSG00000105281	SLC1A5	Naive_CD8_Rep2	61.311375162004
85	ENSG00000105835	NAMPT	Naive_CD8_Rep2	1153.56216971474
86	ENSG00000123473	STIL	Naive_CD8_Rep2	105.591812779007
87	ENSG00000134333	LDHA	Naive_CD8_Rep2	9248.93448277194
88	ENSG00000134690	CDCA8	Naive_CD8_Rep2	34.0618750900022
89	ENSG00000137265	IRF4	Naive_CD8_Rep2	130.570521178342
90	ENSG00000138160	KIF11	Naive_CD8_Rep2	113.539583633341
91	ENSG00000140968	IRF8	Naive_CD8_Rep2	225.943771430348
92	ENSG00000142945	KIF2C	Naive_CD8_Rep2	37.4680625990025
93	ENSG00000145386	CCNA2	Naive_CD8_Rep2	57.9051876530038
94	ENSG00000148773	MKI67	Naive_CD8_Rep2	308.827667482687
95	ENSG00000149554	CHEK1	Naive_CD8_Rep2	47.6866251260032
96	ENSG00000151725	CENPU	Naive_CD8_Rep2	95.3732502520063
97	ENSG00000164687	FABP5	Naive_CD8_Rep2	299.74450079202
98	ENSG00000171314	PGAM1	Naive_CD8_Rep2	3891.00153111459
99	ENSG00000179388	EGR3	Naive_CD8_Rep2	35.1972709263357
100	ENSG00000237649	KIFC1	Naive_CD8_Rep2	39.7388542716693
101	ENSG00000066279	ASPM	Naive_CD8_Rep3	44.1624444722409
102	ENSG00000073111	MCM2	Naive_CD8_Rep3	443.778710306421
103	ENSG00000089692	LAG3	Naive_CD8_Rep3	76.4764282324172
104	ENSG00000105281	SLC1A5	Naive_CD8_Rep3	104.48188082457
105	ENSG00000105835	NAMPT	Naive_CD8_Rep3	931.719865085083
106	ENSG00000123473	STIL	Naive_CD8_Rep3	107.713279200588
107	ENSG00000134333	LDHA	Naive_CD8_Rep3	10043.1861526628
108	ENSG00000134690	CDCA8	Naive_CD8_Rep3	44.1624444722409
109	ENSG00000137265	IRF4	Naive_CD8_Rep3	207.886628857134
110	ENSG00000138160	KIF11	Naive_CD8_Rep3	164.801317176899
111	ENSG00000140968	IRF8	Naive_CD8_Rep3	206.809496065128
112	ENSG00000142945	KIF2C	Naive_CD8_Rep3	45.2395772642468
113	ENSG00000145386	CCNA2	Naive_CD8_Rep3	96.9419512805289
114	ENSG00000148773	MKI67	Naive_CD8_Rep3	311.291376889698
115	ENSG00000149554	CHEK1	Naive_CD8_Rep3	76.4764282324172
116	ENSG00000151725	CENPU	Naive_CD8_Rep3	135.71873179274
117	ENSG00000164687	FABP5	Naive_CD8_Rep3	269.283198001469
118	ENSG00000171314	PGAM1	Naive_CD8_Rep3	3970.31147133366
119	ENSG00000179388	EGR3	Naive_CD8_Rep3	28.0054525921528
120	ENSG00000237649	KIFC1	Naive_CD8_Rep3	43.0853116802351
